DOCULECT;CONCEPT;IPA;VARIANTS
Modern_Persian;shade/shadow;saja;
Ormuri;shade/shadow;sjaka;
Ossetic_Iron;shade/shadow;auwon;ændærg
Parachi;shade/shadow;seʁ;
Shughni;shade/shadow;soja;
Taleshi;shade/shadow;sognə;sovonə
Wakhi;shade/shadow;soja;
Yaghnobi;shade/shadow;soja;sijoka
Zazaki;shade/shadow;sersej;
SEK ;shade/shadow;sibɛr;
SK;shade/shadow;sɨh;
NK;shade/shadow;si;
SWK;shade/shadow;si;
NWK;shade/shadow;si;
Bakhtiyari;skin;pust;mart
Balochi;skin;pʔost;
Gilaki;skin;ʧərm;pust
Judeo-Tati;skin;pusd;
Kumzari;skin;post;
Luri;skin;pys;
Modern_Persian;skin;pust;
Ormuri;skin;post;
Ossetic_Iron;skin;carm;
Parachi;skin;pust;
Shughni;skin;pust;
Taleshi;skin;pystin;
Wakhi;skin;pist;
Waziri;skin;tsarman;
Yaghnobi;skin;pust;
Zazaki;skin;poste;
SEK ;skin;ʧɛrm;
SK;skin;ʧɛrm;
NK;skin;ʧɛrm;
SWK;skin;ʧɛrm;
NWK;skin;ʧɛrm;post
Bakhtiyari;small;kocʔir;
Balochi;small;kik;
Gilaki;small;kucʔk;
Judeo-Tati;small;ʧykle;
Kumzari;small;ʔik;
Luri;small;kaʔdy;
Modern_Persian;small;kuʔek;
Ormuri;small;zari;
Ossetic_Iron;small;ʧɨsɨl;gyksyl
Parachi;small;ʔimo;
Shughni;small;zalik;zul
Taleshi;small;gada;
Wakhi;small;zuq;zuqiq
Waziri;small;kam;kamkai
Yaghnobi;small;pula;maʔʔdaak
Zazaki;small;werdi;qiʔ
SEK ;small;kɨʧkɛ;
SK;small;pɨʧuk;
NK;small;pɨʧuk;
SWK;small;ʧuʧɨk;ʧuk
NWK;small;ʧuk;
Bakhtiyari;smoke;di;
Balochi;smoke;duhon;
Gilaki;smoke;dudʔmana;
Judeo-Tati;smoke;dure;
Kumzari;smoke;dur;
Luri;smoke;dyd;
Modern_Persian;smoke;dud;
Ormuri;smoke;dud;
Ossetic_Iron;smoke;fæzdæg;xʔuaecae
Parachi;smoke;dhi;
Shughni;smoke;ʔud;
Taleshi;smoke;ʔu;
Wakhi;smoke;dit;
Yaghnobi;smoke;paʔst;dud
Zazaki;smoke;dun;
SEK ;smoke;dukɛl;
SK;smoke;duman;
NK;smoke;du;
SWK;smoke;du;
NWK;smoke;tu;tuman
Bakhtiyari;soil;hak;
Balochi;soil;xak;sorag
Gilaki;soil;zəminə;
Judeo-Tati;soil;zimi;xok
Kumzari;soil;pʧal;
Modern_Persian;soil;ɣak;
Ossetic_Iron;soil;zæɣ;
Parachi;soil;ken;
Shughni;soil;ʧidow;
Taleshi;soil;zəmin;
Yaghnobi;soil;zoj;
Zazaki;soil;ʕerd;
SEK ;soil;ax;
SK;soil;ax;
NK;soil;xwɛli;
SWK;soil;ax;
NWK;soil;ɔx;
Bakhtiyari;stand;ʔastaden;
Balochi;stand;oʔtagʔ;oʔtatʔa
Gilaki;stand;es;
Judeo-Tati;stand;vetovusde;
Kumzari;stand;qawumah;saxo
Luri;stand;vaʔseda;va rosseda
Modern_Persian;stand;istadan;
Ormuri;stand;darok;aʃtvek
Ossetic_Iron;stand;læuuɨn;
Parachi;stand;papʔɒ;
Shughni;stand;wirafʔ;
Taleshi;stand;mande;
Waziri;stand;daredel;
Yaghnobi;stand;uʔt;
Zazaki;stand;mendis;vinderdis
SEK ;stand;ɹawɛstan;
SK;stand;sɛkɨnandɨn;
NK;stand;sɨkɨnandɨn;
SWK;stand;sɛkɨnin;
NWK;stand;sækɨnin;
Bakhtiyari;star;astare;
Balochi;star;istar;
Gilaki;star;sʔtar;
Judeo-Tati;star;asdara;astare
Kumzari;star;starg;
Luri;star;setara;
Modern_Persian;star;setare;
Ormuri;star;stirak;
Ossetic_Iron;star;scalɨ;
Parachi;star;esteʔ;
Shughni;star;xiterʔ;
Taleshi;star;astovə;
Wakhi;star;stor;
Waziri;star;storai;
Yaghnobi;star;bildiʔa;sitora
Zazaki;star;estare;
SEK ;star;ster;
SK;star;steɹɨk;
NK;star;hɨsterɨk;
SWK;star;hestɨrk;
NWK;star;ɨstɛwrɨk;
Bakhtiyari;stone;bard;kocʔok
Balochi;stone;xoh;
Gilaki;stone;səʔ;
Judeo-Tati;stone;senq;
Kumzari;stone;raʔg;
Luri;stone;saʔ;kolom
Modern_Persian;stone;saʔ;
Ormuri;stone;gap;
Ossetic_Iron;stone;dur;
Parachi;stone;gir;
Shughni;stone;saʔ;ʔir
Taleshi;stone;sʔg;
Wakhi;stone;gʔar;
Waziri;stone;konrai;tiʒa
Yaghnobi;stone;saʔk;
Zazaki;stone;ʔi;
SEK ;stone;bɛr;
SK;stone;kɛvɨr;
NK;stone;kɛvɨr;
SWK;stone;kævɨr;
NWK;stone;kævɨr;
Bakhtiyari;suck;mekeniden;
Balochi;suck;miʔagʔ;mixta
Gilaki;suck;fuduʃtən;məkəstən
Judeo-Tati;suck;keʃire;nene xurde
Kumzari;suck;massa;
Modern_Persian;suck;mekidan;
Ossetic_Iron;suck;dæjɨn;cʔiryn
Shughni;suck;sipaf;
Taleshi;suck;die;lɨʃte
Wakhi;suck;sup;
Waziri;suck;ravdel;
Yaghnobi;suck;zimak;diy
Zazaki;suck;antiʃ;banʤi
SEK ;suck;metɨn;
SK;suck;mɨʒandɨn;
NK;suck;mɨʒandɨn;
SWK;suck;mɨʒin;mɨʒandɨn
NWK;suck;mɨtin;mɨʒin
Bakhtiyari;sweet;ʃirin;
Balochi;sweet;ʃiren;ʃirken
Gilaki;sweet;ʃirin;
Judeo-Tati;sweet;ʃirin;
Kumzari;sweet;ʃirin;
Modern_Persian;sweet;ʃirin;
Ormuri;sweet;xwaʃ;
Ossetic_Iron;sweet;adʤɨn;
Parachi;sweet;ʃirɨn;xiro
Shughni;sweet;ʃirin;xiʒ
Taleshi;sweet;ʃin;
Wakhi;sweet;ɣuʒg;
Yaghnobi;sweet;ʃirin;
Zazaki;sweet;ʃirin;
SEK ;sweet;ʃɨrin;
SK;sweet;ʃirin;
NK;sweet;ʃirin;
SWK;sweet;ʃirɨn;
NWK;sweet;ʃirin;
Bakhtiyari;tail;din;
Balochi;tail;dumb;
Gilaki;tail;dum;
Judeo-Tati;tail;dym;
Kumzari;tail;dum;
Luri;tail;dom;
Modern_Persian;tail;dom;
Ormuri;tail;dumb;
Ossetic_Iron;tail;dɨmæg;
Parachi;tail;doʔund;
Shughni;tail;dum;
Taleshi;tail;dum;
Wakhi;tail;kicikam;
Waziri;tail;lakai;
Yaghnobi;tail;dym;dumba
Zazaki;tail;poʔ;
SEK ;tail;dylɨk;
SK;tail;duv;
NK;tail;boʧɨk;del
SWK;tail;boʧ;du
NWK;tail;doʧɨk;
Bakhtiyari;take;gerejden;ʋordaʃten
Balochi;take;zurag;barag
Gilaki;take;giftən;usadən
Judeo-Tati;take;vegirde;vegyrde
Kumzari;take;gir;
Modern_Persian;take;giriftan;
Ormuri;take;wur;
Ossetic_Iron;take;isɨn;widzɨn
Shughni;take;zez;pard͡ʒiv
Taleshi;take;pegəte;gət
Wakhi;take;durz;
Yaghnobi;take;barde;nos
Zazaki;take;berdiʃ;
SEK ;take;bɨrɨn;
SK;take;bɨrɨn;
NK;take;bɨrɨn;
SWK;take;bɨrɨn;
NWK;take;bɨrɨn;
Bakhtiyari;thick;koloft;cʔaq
Balochi;thick;tʔular;
Gilaki;thick;kuluft;
Judeo-Tati;thick;qolind;
Kumzari;thick;saχt;
Luri;thick;koloft;got
Modern_Persian;thick;koloft;
Ossetic_Iron;thick;stavd;
Parachi;thick;estoro;
Shughni;thick;farbijaki;
Taleshi;thick;koloft;
Wakhi;thick;baʔ;
Waziri;thick;gʔwut;
Yaghnobi;thick;gafs;farbi
Zazaki;thick;qalin;
SEK ;thick;styr;
SK;thick;qalɨn;stur
NK;thick;qałɨnd;
SWK;thick;qalɨng;
NWK;thick;qalɨng;
Bakhtiyari;thigh;roʋn;
Balochi;thigh;ran;ripag
Gilaki;thigh;kəpəl;ran
Judeo-Tati;thigh;kefel;bud
Kumzari;thigh;binʤ;
Modern_Persian;thigh;ran;
Ormuri;thigh;ron;langɛi
Ossetic_Iron;thigh;ahd;sin
Parachi;thigh;ron;
Shughni;thigh;biʃtun;bixtun
Taleshi;thigh;ʃevək;
Wakhi;thigh;ron;
Yaghnobi;thigh;ron;
Zazaki;thigh;gohm;
SEK ;thigh;qalʧɛ;
SK;thigh;kɛlɛf;
NK;thigh;het;
SWK;thigh;qałʧɛ;
NWK;thigh;qalʧɛ;
Bakhtiyari;this;i;
Balochi;this;iʃ;
Gilaki;this;ha;an
Judeo-Tati;this;i;
Kumzari;this;ijah;
Luri;this;ʔde; ʔe
Modern_Persian;this;in;
Ormuri;this;aɸo;
Ossetic_Iron;this;u;asǝ
Parachi;this;e;
Shughni;this;jam;mam
Taleshi;this;ɨm;
Wakhi;this;jem;haeiem
Waziri;this;dai;dagʔa
Yaghnobi;this;iʔ;
Zazaki;this;na;nɛ
SEK ;this;ɛw;
SK;this;ɛv;ɛw
NK;this;ɛv;ɛw
SWK;this;va;hɛw
NWK;this;æv;æw
Bakhtiyari;tie;gerej;
Balochi;tie;bandagʔ;bastʔa
Gilaki;tie;bʔst;
Judeo-Tati;tie;debesd;
Kumzari;tie;abn;ebn
Luri;tie;bassa;
Modern_Persian;tie;bastan;
Ormuri;tie;tarok;
Ossetic_Iron;tie;battɨn;
Shughni;tie;vind;
Taleshi;tie;bend;
Wakhi;tie;vund;
Waziri;tie;tarel;
Yaghnobi;tie;vant;
Zazaki;tie;bestiʔ;
SEK ;tie;gɨredan;
SK;tie;gɨredan;
NK;tie;gɨredan;
SWK;tie;gɨredan;
NWK;tie;gɨredɔn;
Bakhtiyari;tongue;zoʔn;
Balochi;tongue;zawan;
Gilaki;tongue;zʔban;
Judeo-Tati;tongue;zuhun;
Kumzari;tongue;zuwan;
Luri;tongue;zabu;
Modern_Persian;tongue;zaban;
Ormuri;tongue;zuban;
Ossetic_Iron;tongue;ɜvzag ;
Parachi;tongue;zubon;
Shughni;tongue;lavz;ziv
Taleshi;tongue;zɨvon;
Wakhi;tongue;zik;
Waziri;tongue;ʒebba;
Yaghnobi;tongue;zivok;zabon
Zazaki;tongue;ziwan;
SEK ;tongue;ʕɛzman;
SK;tongue;zɨman;
NK;tongue;zɨman;
SWK;tongue;zɨman;
NWK;tongue;zɨmɔn;
Bakhtiyari;tooth;dendoʔn;
Balochi;tooth;datʔan;
Gilaki;tooth;dʔndan;
Judeo-Tati;tooth;dendu;
Kumzari;tooth;dnan;
Luri;tooth;dudu;
Modern_Persian;tooth;dandan;
Ormuri;tooth;giʔi;
Ossetic_Iron;tooth;daendag;
Parachi;tooth;danon;
Shughni;tooth;dindun;
Taleshi;tooth;dondun;
Wakhi;tooth;denduk;
Waziri;tooth;gʔwoʔ;gʔoʔ
Yaghnobi;tooth;dindak;
Zazaki;tooth;dindan;
SEK ;tooth;dɨdan;
SK;tooth;dɨnan;
NK;tooth;dɨran;
SWK;tooth;dɨran;
NWK;tooth;dɨdon;
Bakhtiyari;water;aʔ;
Balochi;water;af;
Gilaki;water;ab;
Judeo-Tati;water;ʔov;
Kumzari;water;hau;
Luri;water;ʔaw;
Modern_Persian;water;ab;
Ormuri;water;waʔk;
Ossetic_Iron;water;don;
Parachi;water;owʔ;
Shughni;water;xac;
Taleshi;water;ob;
Wakhi;water;jupk;
Waziri;water;ebo;
Yaghnobi;water;op;
Zazaki;water;aw;
SEK ;water;aw;
SK;water;av;
NK;water;av;
SWK;water;av;
NWK;water;ɔv;
Bakhtiyari;what?;ʧe;cʔen
Balochi;what?;kitʔan;
Gilaki;what?;ʧi;
Judeo-Tati;what?;ʧy;
Kumzari;what?;ʧe;
Luri;what?;ce;ci
Modern_Persian;what?;ʔe;
Ormuri;what?;tsa;
Ossetic_Iron;what?;tsɨ;
Parachi;what?;ʔe;
Shughni;what?;ca;
Taleshi;what?;ʧiʧ;
Wakhi;what?;ciz;ciciz
Waziri;what?;tse;
Yaghnobi;what?;ʔo;
Zazaki;what?;ʔiʔi;
SEK ;what?;ʧɨ;
SK;what?;ʧɨ;
NK;what?;ʧɨ;
SWK;what?;ʧɨ;
NWK;what?;ʧɨ;
Bakhtiyari;who?;kej;
Balochi;who?;kitʔan;
Gilaki;who?;ki;
Judeo-Tati;who?;ki;
Kumzari;who?;ke;
Luri;who?;ke;ki
Modern_Persian;who?;ki;
Ormuri;who?;kok;
Ossetic_Iron;who?;ci;citae
Parachi;who?;ki;
Shughni;who?;ʧaj;
Taleshi;who?;ki;
Wakhi;who?;kui;
Waziri;who?;tsok;
Yaghnobi;who?;ka;kax
Zazaki;who?;kam;
SEK ;who?;ke;
SK;who?;ki;ke
NK;who?;ki;
SWK;who?;ki;ke
NWK;who?;khi;kɛ
Bakhtiyari;wide;pahn;feraq
Balochi;wide;prah;
Gilaki;wide;pan;
Judeo-Tati;wide;fireh;
Kumzari;wide;paʔn;
Modern_Persian;wide;pahn;goʔad
Ormuri;wide;pan;
Ossetic_Iron;wide;fætæn;wæræx
Shughni;wide;daxt;firox
Taleshi;wide;pan;hevuʒ
Wakhi;wide;pam;ferux
Waziri;wide;plan;
Yaghnobi;wide;jaxt;pahm
Zazaki;wide;hera;
SEK ;wide;fɨrɛ;
SK;wide;fɛɹɛh;
NK;wide;fɨrɛ;
SWK;wide;fɛrɛ;
NWK;wide;fɛrɛ;
Bakhtiyari;wind;bad;
Balochi;wind;go;
Gilaki;wind;bad;
Judeo-Tati;wind;vor;kulok
Kumzari;wind;kawl;
Luri;wind;bad;
Modern_Persian;wind;bad;
Ormuri;wind;bad;
Ossetic_Iron;wind;dɨmgæ;uad
Parachi;wind;dhaman;
Shughni;wind;ʔamol;xuʔ
Taleshi;wind;vu;
Wakhi;wind;semol;duma
Waziri;wind;bod;
Yaghnobi;wind;wot;bʔda
Zazaki;wind;va;
SEK ;wind;ba;
SK;wind;ba;
NK;wind;bā;
SWK;wind;ba;
NWK;wind;bɔ;
Bakhtiyari;wing;bal;
Balochi;wing;pʔar;
Gilaki;wing;bal;pər
Judeo-Tati;wing;qanet;
Kumzari;wing;ʤnah;
Luri;wing;fal;bal
Modern_Persian;wing;par;
Ormuri;wing;bal;
Ossetic_Iron;wing;bazɨr;
Parachi;wing;bol;
Shughni;wing;par;
Taleshi;wing;kəʃ;
Wakhi;wing;tup;
Waziri;wing;wazar;par
Yaghnobi;wing;par;wanot
Zazaki;wing;perʔ;
SEK ;wing;pɛɹ;
SK;wing;pɛɹ;
NK;wing;pɛɹ;bask
SWK;wing;pil;bask
NWK;wing;pɨl;
Bakhtiyari;wood;ler;
Balochi;wood;ladh;
Gilaki;wood;dar;dərəxt
Judeo-Tati;wood;viʔe;
Kumzari;wood;loh;
Luri;wood;ʔaʔal;ʔaʔale kaʔʔdy
Modern_Persian;wood;ʔaʔal;
Ormuri;wood;pom;
Ossetic_Iron;wood;xʔaed;
Shughni;wood;diraxtzor;ʔaʔal
Taleshi;wood;viʔa;
Waziri;wood;zaʔal;
Zazaki;wood;roʔʃəno;gəm
SEK ;wood;dar;
SK;wood;dar;
NK;wood;dar;
SWK;wood;dar;
NWK;wood;dɔr;
Bakhtiyari;yesterday;duʃ;
Balochi;yesterday;dinax;
Gilaki;yesterday;diruz;
Judeo-Tati;yesterday;di;ʃovu
Kumzari;yesterday;duʃin;
Modern_Persian;yesterday;diruz;
Ormuri;yesterday;pran;bego
Ossetic_Iron;yesterday;znon;ændæræbon
Parachi;yesterday;aze;
Shughni;yesterday;bijor;
Taleshi;yesterday;zinə;pəjnə
Wakhi;yesterday;jez;
Yaghnobi;yesterday;pijon;
Zazaki;yesterday;vizer;
SEK ;yesterday;duhu;(ne)
SK;yesterday;duho;
NK;yesterday;do;
SWK;yesterday;dɨhu;
NWK;yesterday;do;
Zebaki;1SG;az;
Zebaki;2SG;to;
Zebaki;3SG;ao;
Zebaki;back;dam;med
Zebaki;big;kata;
Zebaki;bird;parinda;
Zebaki;breast;bar;
Zebaki;child;kut;
Zebaki;come;is;
Zebaki;dog;ked;
Zebaki;ear;gal;
Zebaki;eat;xar;
Zebaki;eye;tsam;
Zebaki;fall;idawi;
Zebaki;far;dir;
Zebaki;fire;roʔni;
Zebaki;give;da;
Zebaki;good;feri;
Zebaki;hair;segund;
Zebaki;hand;dast;
Zebaki;house;ɣan;ɣu
Zebaki;in;ka;pa
Ishkashimi;ash;usur;
Ishkashimi;back;kamuk;arqa
Ishkashimi;big;katta;ʒəʃt
Ishkashimi;black;ʔu;
Ishkashimi;blood;wen;
Ishkashimi;bone;wastuk;
Ishkashimi;breast;peʃbar;cici
Ishkashimi;child;zaman;telf
Ishkashimi;come;agad;
Ishkashimi;dog;kud;
Ishkashimi;ear;gol;
Ishkashimi;eat;xar;
Ishkashimi;egg;akik;
Ishkashimi;eye;tsam;
Ishkashimi;far;dir;
Ishkashimi;fire;roʔni;
Ishkashimi;give;da;
Ishkashimi;good;fri;nek
Ishkashimi;hair;ɣenuk;ɣunʤ
Ishkashimi;2SG;wa;
Ishkashimi;hear;ʃud;
Ishkashimi;1SG;az;
Ishkashimi;in;dar;pa,po
Ishkashimi;knee;zuʔ;
Ishkashimi;leaf;barg;
Ishkashimi;leg/foot;tsiwliʔ;
Ishkashimi;liver;gola;
Ishkashimi;long;wuzduk;
Ishkashimi;louse;spul;
Ishkashimi;meat;pudf;
Ishkashimi;mouth;futs;
Ishkashimi;new;nawuk;
Ishkashimi;night;ʔab;
Ishkashimi;nose;nits;
Ishkashimi;not;na;nus
Ishkashimi;one;wak;
Ishkashimi;rain;urnaduk;
Ishkashimi;red;surx;
Ishkashimi;rope;vuʔ;
Ishkashimi;salt;namulgak;
Ishkashimi;sand;reg;
Ishkashimi;say;gez;
Ishkashimi;skin;kurust;korost
Ishkashimi;small;kutokok;
Ishkashimi;smoke;dit;
Ishkashimi;star;struk;
Ishkashimi;stone;suʔ;
Ishkashimi;tail;dumb;
Ishkashimi;this;nakavi;
Ishkashimi;tongue;zivuk;
Ishkashimi;tooth;dand;
Ishkashimi;water;wek;
Ishkashimi;what?;ciz;
Ishkashimi;who?;kudum;
Ishkashimi;wide;pam;
Ishkashimi;hand;dust;
Ishkashimi;bitter;truʃ;
Ishkashimi;hard;kulaɣ;ʃax
Ishkashimi;house;ɣun;
Ishkashimi;navel;naf;
Ishkashimi;sweet;ɣaʒok;
Ishkashimi;thigh;satɣan;
Ishkashimi;crush/grind;ʃak;
Ishkashimi;do;kun;kul
Ishkashimi;go;ʃu;
Ishkashimi;take;zanz;
Ishkashimi;yesterday;paruzd;
Ishkashimi;fish;moi;
Ishkashimi;fly;paʃɛ;
Ishkashimi;bird;parinda;
Ishkashimi;blow;puf;
Ishkashimi;horn;vərok;
Ishkashimi;burn;təv;
Ishkashimi;heavy;wazmin;
Ishkashimi;fall;waz;
Ishkashimi;drink;pɜv;
Zebaki;name;nem;
Zebaki;night;ferʔun;
Zebaki;nose;nits;
Zebaki;not;na;nas
Zebaki;one;wok;
Zebaki;rope;waʔ;
Zebaki;say;gez;
Zebaki;small;kut;
Zebaki;star;sitara;
Zebaki;this;am;
Zebaki;do;kanak;kunam
Zebaki;go;ʃom;
Zebaki;run;gaz;guzd
Zebaki;take;zagd;PST
Zebaki;tongue;zevuk;
Zebaki;tooth;dandak;
Zebaki;water;wek;
Zebaki;what?;tsiz;
Zebaki;who?;kai;
Pashto;1SG;zə;
Pashto;2SG;tə;
Pashto;3SG;je;e
Pashto;ant;murʧa;
Pashto;ash;ira;
Pashto;big;zbərg;ghat
Pashto;bird;murgh;
Pashto;bite;ʧiʧel;
Pashto;bitter;zvəg;
Pashto;black;sijah;
Pashto;blood;vina;
Pashto;blow;pukavəl;ʧaledəl
Pashto;bone;had;
Pashto;breast;bar;
Pashto;burn;baledəl;
Pashto;carry;kaʃawel;
Pashto;child;ʧurʧurak;
Pashto;come;ratləl;
Pashto;crush/grind;majdawəl;
Pashto;cry/weep;ʒarəl;vahir
Pashto;do;kawəl;
Pashto;dog;spaj;
Pashto;drink;tskəl;
Pashto;ear;ghvaʒ;
Pashto;eat;ɣvarəl;
Pashto;egg;voja;
Pashto;eye;stərga;
Pashto;fall;lvedəl;
Pashto;far;lire;
Pashto;fire;or;ataʃ
Pashto;fish;mahaj;
Pashto;fly;məʧ;
Pashto;give;darkawəl;dad
Pashto;go;tləl;
Pashto;good;ɣuʃ;
Pashto;hair;mu;
Pashto;hand;las;
Pashto;hard;saɣt;
Pashto;hear;arvedəl;
Pashto;heavy;drund;
Pashto;hide;nixamavəl;
Pashto;hit/beat;drazawəl;
Pashto;horn;xkər;
Pashto;house;kor;
Pashto;in;pex;
Pashto;knee;zanu;
Pashto;laugh;ɣandedəl;
Pashto;leaf;barg;
Pashto;leg/foot;pa;
Pashto;liver;dzigar;ʤigar
Pashto;long;uʒd;kaʃal
Pashto;louse;spəʒa;
Pashto;meat;ghvaɣa;
Pashto;mouth;ɣula;kuma
Pashto;name;num;
Pashto;navel;naf;
Pashto;neck;gardan;
Pashto;new;nəvaj;nəzaj
Pashto;night;ʃab;
Pashto;nose;paza;
Pashto;not;nah;
Pashto;old;zor;takər
Pashto;one;ju;
Pashto;rain;vərja;
Pashto;red;surx;
Pashto;root;reʂa;ʤara
Pashto;rope;vaʂ;resi
Pashto;run;dzghaledəl;təʂtedəl
Pashto;salt;malga;
Pashto;sand;ʃega;
Pashto;say;guzarəl;
Pashto;see;katə;did
Pashto;shade/shadow;saja;ʧa
Pashto;skin;tsarmən;
Pashto;small;kam;
Pashto;smoke;lugaj;
Pashto;soil;ɣavra;
Pashto;stand;daredəl;
Pashto;star;sitara;
Pashto;stone;dabara;sɣar
Pashto;suck;zbeʂəl;
Pashto;sweet;ʃirin;
Pashto;tail;lakəj;
Pashto;take;aɣistəl;nivəl
Pashto;thick;tət;
Pashto;thigh;vrun;
Pashto;this;da;
Pashto;tie;tarəl;
Pashto;tongue;zaban;
Pashto;tooth;ghaʂ;
Pashto;water;avba;
Pashto;what?;tsa;
Pashto;who?;tsuk;
Pashto;wide;praɣ;
Pashto;wind;bad;
Pashto;wing;vazar;kawtsar
Pashto;wood;largaj;pəkər
Pashto;yesterday;parun;
